satellite,number,uplink,downlink,beacon,mode,callsign
Aalto-1,42775,,437.220/2402.000,437.220,9600bps FSK CW,OH2A1S
AAUSAT-2,32788,,437.426,,1k2*MSK 9k6 FSK,OZ2CUB
AAUSAT-4,41460,,437.425,437.425,2k4*/9k6/19k2 GFSK CW,OZ4CUB
AISTECHSAT-2,43768,,436.730,,4k8/9k6* FSK,
AISTECHSAT-3,44103,,436.730,,4k8/9k6* FSK,
AlfaCrux,52160,437.225,437.100*/437.225,,4800bps FSK Digipeater,
AmicalSat,46287,,436.100*/2415.300,,1k2*AFSK/9k6 GMSK,RS17S
AmurSat (AmGU-1),44394,,436.250,,4800bps mobitex,
AO-7 (Phase-2B),7530,145.850-145.950,29.400- 29.500,29.502,A,
AO-7 (Phase-2B),7530,432.125-432.175,145.975-145.925,145.970,B C,
AO-27 (EYESAT-A),22825,145.850,436.795,,1200bps AFSK FM,
AO-73 (FUNcube-1),39444,435.130-435.150,145.970-145.950,145.935,1200*bps BPSK SSB,
AO-91 (Fox-1B RadFxSat),43017,435.250,145.960,145.960,FM* CTCSS 67.0Hz/200bps DUV,
AO-92 (Fox-1D),43137,435.350/1267.350,145.880,145.880,FM CTCSS 67.0Hz/200bps DUV,
AO-95 (Fox-1Cliff),43770,435.300/1267.300,145.920,145.920,FM CTCSS 67.0Hz/200bps DUV*,
AO-109 (RadFXsat-2 Fox-1E),47311,145.860-145.890,435.790-435.760,435.750,1k2 BPSK SSB CW* FT4*,
Arduiqube (DIY-1 DO-111),47963,,437.125,437.125,50/100*bdRTTY 500bdFSK CW,
Armadillo,44352,,437.525,,19k2*/38k4 GMSK,KE5DTW
Astrocast-0.1,43798,,437.147/2403.000,,1200bps FSK,HB9GSF
Athenoxat-1,41168,,437.485,437.485,2k4*GMSK 4k8*AFSK CW,ATX1
BCCSAT-1,48041,,435.635,435.635,4800bps GMSK CW,HS0W
BDSat,52175,,145.850/436.025*,436.025,9600*bps GFSK CW,OK0BDS
BEESAT-5,48083,,435.950,,4800bps GMSK,DB0BEI
BEESAT-6,48083,,435.950,,4800bps GMSK,DB0BEJ
BEESAT-7,48084,,435.950,,4800bps GMSK,DB0BEK
BEESAT-8,48084,,435.950,,4800bps GMSK,DB0BEL
BEESAT-9,44412,,435.950,,4k8*/9k6 mobitex GMSK,DP0BEM
BisonSat,40968,,437.375,,9600bps GMSK,N7SKC
BlueWalker-3,53807,,437.500/2210.000,,2k4*/9k6 FSK,
Bobcat-1,46922,,436.600,,9k6/38k4/57k6* GMSK,BOBCAT-1
BRO-4,49066,,401.735,,9600bps FSK,
BRO-5,51061,,401.735,,4800bps FSK,
BRO-6,52422,,401.735,,9600bps FSK,
BRO-7,52174,,401.735,,9600bps FSK,
BSUSat-1(CubeBel-1),43666,436.200,436.200/436.990*,,4k8/9k6* GMSK Digipeater,EU10S
BugSat-1,40014,,437.445,,9600bps GMSK,LU7AA
BY70-2,45857,,436.200,,9600bps BPSK,
BY70-3,46839,,437.600,,9600bps BPSK,NPUBY3
CAPE-1,31130,,435.245,435.248,1200bps AFSK,K5USL
CAPE-3,47309,,145.825/437.325*,,1k2*AFSK 9k6 FSK,W5UL-11
CAS-1 (HO-68 XW-1),36122,,,435.790,CW,BJ1SA
CAS-2T,41847,145.925,435.615,435.710,FM CW*,CAS2T
