satellite,number,uplink,downlink,beacon,mode,callsign,status
1KUNS-PF,43466,,437.300,,1k2/2k4/4k8/9k6* GMSK,,re-entered
3CAT-1,43781,,437.250,437.250,9600bps BPSK CW,,inactive
3CAT-2,41732,,145.970/2401.000,,9600bps BPSK/100kbps GMSK,,inactive
4M-LXS,,,145.980,,WSJT-JT65B,LX0OHB,deep space
Aalto-1,42775,,437.220/2402.000,437.220,9600bps FSK CW,OH2A1S,active
Aalto-2 (FI01),42729,,437.335,,9600bps GFSK,AALTO2,re-entered
AAUSAT-1,27846,,437.450,,9600bps GMSK,,inactive
AAUSAT-2,32788,,437.426,,1k2*MSK 9k6 FSK,OZ2CUB,active
AAUSAT-3,39087,,437.425,437.425,4800bps FSK CW,OZ3CUB,inactive
AAUSAT-4,41460,,437.425,437.425,2k4*/9k6/19k2 GFSK CW,OZ4CUB,active
AAUSAT-5,40948,,437.425,437.425,9600bps GMSK CW,OZ5CUB,re-entered
ACRUX-1,44369,,437.200,,9600bps GMSK,CQ,re-entered
AENEAS,38760,,437.600,,1200bps AFSK,KE6YFA-1,inactive
AeroCube-1,,,902/928,,9600bps GFSK,,failure
AeroCube-2,31133,,902-928,,9600bps GFSK,,inactive
AESP14,40389,,437.600,,9600bps GFSK,,inactive
AggieSat-4,41313,,436.250,,9k6/153k6 FSK,,inactive
AISat,40054,,437.250,437.511,CW,DP0AIS,inactive
AISAT-1,44104,145.825,145.825/2259.000,,1200bps AFSK,AISAT-1,inactive
AISTECHSAT-2,43768,,436.730,,4k8/9k6* FSK,,active
AISTECHSAT-3,44103,,436.730,,4k8/9k6* FSK,,active
AIST-1 (RS-41),39492,,,435.265,CW,,inactive
AIST-2 (RS-43),39133,,435.215,435.265,FM CW,,inactive
AIST-2D (RS-48),41465,145.831-145.849,435.3065-435.3235,435.315,4800bps PSK CW,,inactive
ALEXANDER (PhoneSat2),39144,,2401.200-2431.200,437.425,1200bps AFSK,KJ6KRW,re-entered
AlfaCrux,52160,437.225,437.100*/437.225,,4800bps FSK Digipeater,,active
ALICE,39467,,460.xxx,,GFSK,,non-amateur
All-Star/THEIA,39683,,2401.700,,256Kbps BPSK,COSGC1AS,unknown
ALPHA,53110,,436.500,,9600bps FSK,,inactive
ALMASat-1,38078,,437.465/2407.850,,1200bps FSK,ALMASAT,inactive
ALSat-1N,41789,,437.646,,9600bps FSK,AL1N,inactive
Al-Farabi-2,43805,,436.500,436.500,4800bps GMSK CW,UN1GWA,inactive
AmicalSat,46287,,436.100*/2415.300,,1k2*AFSK/9k6 GMSK,RS17S,active
AmurSat (AmGU-1),44394,,436.250,,4800bps mobitex,,active
ANDE (NO-61),29664,145.825,145.825,,1200bps AFSK,ANDE-1,re-entered
ANDE-2 (Castor),35694,,145.825,,1200bps AFSK,KD4HBO-1,re-entered
ANDE-2 (Pollux),35693,,145.825,,1200bps AFSK,POLLUX-1,re-entered
ANTELSat,40034,,437.575/2403.000,437.280,1k2 AFSK GFSK/MSK CW,CX1SAT,inactive
ANUSAT,34808,,,137.400,1200bps AFSK Carrier,,re-entered
Aoba-VELOX-III,41935,,437.375,437.375,1200bps AFSK CW,JG6YBW,re-entered
Aoba-VELOX-IV,43940,,437.225,,9600bps GMSK,,inactive
AoXiang-1 (CN04),42735,,436.150*/437.640,,9600bps BPSK,NPUAX1,re-entered
AO-1 (Oscar-1),214,,,144.983,CW,,re-entered
AO-2 (Oscar-2),305,,,144.983,CW,,re-entered
AO-3 (Oscar-3),1293,145.975-146.025,144.325-144.375,,SSB CW,,inactive
AO-4 (Oscar-4),1902,432.145-432.155,144.300-144.310,431.928,SSB CW,,re-entered
AO-5 (Oscar-5),4321,,29.450,144.050,CW,,inactive
AO-6 (Phase-2A),6236,145.900-146.000,29.450- 29.550,435.100,SSB CW,,inactive
AO-7 (Phase-2B),7530,145.850-145.950,29.400- 29.500,29.502,A,,active
AO-7 (Phase-2B),7530,432.125-432.175,145.975-145.925,145.970,B C,,active
AO-7 (Phase-2B),7530,,2304.100,435.100,D(RTTY),,inactive
AO-8 (Phase-2D),10703,145.850-145.900,29.400- 29.500,29.402,SSB CW,,inactive
AO-8 (Phase-2D),10703,145.900-146.000,435.200-435.100,435.095,SSB CW,,inactive
AO-10 (Phase-3B),14129,435.030-146.180,145.975-145.825,145.810,SSB CW,,inactive
AO-13 (Phase-3C),19216,435.423-435.573,145.975-145.825,145.812,SSB CW,,re-entered
AO-16 (PACSAT),20439,145.920,437.026,,FM USB,,inactive
AO-16 (PACSAT),20439,145.920,437.026,2401.143,1200bps JAS,PACSAT-11 12,inactive
AO-21 (RS-14),21087,,145.800,145.822,1200bps BPSK CW,,inactive
AO-24 (ARSENE),22654,,145.975,2446.540,1200bps AFSK,,inactive
AO-27 (EYESAT-A),22825,145.850,436.795,,1200bps AFSK FM,,active
AO-37 (ASUSAT),26065,145.960/145.980,435.700,,9600bps FSK,,inactive
AO-40 (Phase-3D),26609,,,2401.323,400bps PSK,,inactive
AO-49 (Rubin-2),27605,435.275,145.825,,U/1200 D/9600 MSK,,inactive
AO-51 (Echo),28375,145.920,435.300,435.150,FM tone 67.0Hz,,inactive
AO-51 (Echo),28375,145.860/145.880,2401.200,435.150,9600bps FSK,PECHO-11 12,inactive
AO-51 (Echo),28375,1268.700,435.150,,9600bps FSK,PACB-11 12,inactive
AO-54 (SuitSat-1),28933,,145.990,,FM,,unknown
AO-71 (AubieSat-1),37854,,437.475,437.473,1200bps AFSK CW,,inactive
AO-73 (FUNcube-1),39444,435.130-435.150,145.970-145.950,145.935,1200*bps BPSK SSB,,active
AO-85 (Fox-1A),40967,435.182,145.979,145.979,FM CTCSS 67.0Hz/200bps DUV,,inactive
AO-91 (Fox-1B RadFxSat),43017,435.250,145.960,145.960,FM* CTCSS 67.0Hz/200bps DUV,,active
AO-92 (Fox-1D),43137,435.350/1267.350,145.880,145.880,FM CTCSS 67.0Hz/200bps DUV,,active
AO-95 (Fox-1Cliff),43770,435.300/1267.300,145.920,145.920,FM CTCSS 67.0Hz/200bps DUV*,,active
AO-109 (RadFXsat-2 Fox-1E),47311,145.860-145.890,435.790-435.760,435.750,1k2 BPSK SSB CW* FT4*,,active
APSS-1,46932,,435.100,,9600bps GMSK,,unknown
AQT-D,,,,,,,unknown
ARCE-1A/1B/1C,,,2417.000/2449.2815,,BPSK QPSK FSK,,unknown
ARC-1,40969,,437.565,2440.500,9600bps 1Mbps CW,,inactive
Arduiqube (DIY-1 DO-111),47963,,437.125,437.125,50/100*bdRTTY 500bdFSK CW,,active
ArduSat-1,39412,,437.325,437.000,9600bps MSK CW,WG9XFC-1,re-entered
ArduSat-2,39570,,437.xxx,,9600bps MSK CCSDS,WG9XFC-2,re-entered
ArduSat-X,39414,,437.345,437.007,9600bps MSK CW,WG9XFC-X,re-entered
Argus,,,2403.000-2403.400,437.290,1200bps AFSK,,failure
Argus-2 (MVP-Argus),45257,,437.290,,9600bps GMSK,,inactive
ARISSat-1 (SuitSat-2),37772,435.742-435.758,145.938-145.922,145.919,FM linear/inverting,,re-entered
ARISSat-1 (SuitSat-2),37772,,145.950,,FM SSTV Telemetry,,re-entered
ARISSat-1 (SuitSat-2),37772,,145.918,145.919,BPSK-1000/CW,RS01S,re-entered
ARISSat-1 (SuitSat-2),37772,,145.939,145.939,BPSK-400/CW,,re-entered
Armadillo,44352,,437.525,,19k2*/38k4 GMSK,KE5DTW,active
ARTSAT1-INVADER (CO-77),39577,,437.200,437.325,1k2AFSK DigiTalker CW,JQ1ZKK,re-entered
ARTSAT2-DESPATCH (FO-81),40321,,,437.325,CW,JQ1ZNN,deep space
ASELSAT,47441,,436.950,,,,unknown
AstroBio,53107,435.600,435.600/437.425*,IU0SIA,9600bps FSK Digipeater,,inactive
Astrocast-0.1,43798,,437.147/2403.000,,1200bps FSK,HB9GSF,active
Astrocast-0.2,44083,,437.175/2406.000,,1200bps FSK,HB9GSF,inactive
