name,norad_id,uplink,downlink,beacon,mode,callsign,satnogs_id
1KUNS-3,47941,,435.310,,1k2/9k6* FSK,,JHGM-7853-8293-9677-2181
239Alferov,64881,,436.270/10473.350,,9k6 GFSK/DVB-S2 QPSK,RS61S,RNAT-4607-0106-2995-6819
AISTECHSAT-2,43768,,436.730,,4k8*/9k6 FSK,,MSIH-7029-5546-1995-2723
Al-Munther,63240,,401.175*/436.500,,1200bps BPSK FM,ALMTFM,ARXR-0292-1551-2619-9743
AO-7,7530,145.850-145.950,29.400- 29.500,29.502,A,,HHSS-6325-1344-4603-7774
AO-7,7530,432.125-432.175,145.975-145.925,145.970,B C,,HHSS-6325-1344-4603-7774
AO-73,39444,435.130-435.150,145.970-145.950,145.935,1200*bps BPSK SSB,,OTOF-8025-8953-4756-4779
AO-91,43017,435.250,145.960,145.960,FM* CTCSS 67.0Hz/200bps DUV,,PMAW-9203-2442-8666-3249
AO-123,61781,145.875,435.400/436.210/10460.000,,9k6BPSK* QSPK FM* SSDV*,RS64S BJ2CR,REOO-2119-3738-4964-1579
ArcticSat-1,61762,,435.890,,2k4/9k6*GMSK_USP SSTV,RS74S,XZIQ-7009-4472-3546-4651
ASRTU-1,61781,145.850*/145.875,435.400*/436.210/10460.000,,9k6BPSK* QSPK FM* SSDV*,RS64S BJ2CR,REOO-2119-3738-4964-1579
Astrocast-0.1,43798,,437.150/2403.000,,1200bps FSK,HB9GSF,QSPU-9204-4923-5881-5072
Astrocast-0102,47488,,1.531GHz,,FM,,CMXD-4091-3803-4419-4347
Astrocast-0103,47487,,1.531GHz,,FM,,QJNL-5424-7348-8857-3059
Astrocast-0104,47519,,1.531GHz,,FM,,OEXL-4354-2785-0001-5027
AstroLine-1,64887,,,,LoRa,,
AstroLine-2,64888,,,,LoRa,,
AstroLine-3,64886,,,,LoRa,,
AstroLine-4,64889,,,,LoRa,,
A-SEANSAT-PG1,57197,,401.634,,2k4 GMSK_USP,ASAT1S,IKZL-1016-6920-2274-7552
BALKAN-1,62611,,401.360/2102.500,,9600bps GMSK,BALKAN,ANGB-2912-5973-0732-4675
BEE-1000,66650,,436.500/2403.500,,4800bps MSK,,
BIRDS-X,65729,145.825/435.375,437.375,437.375,4800bps GMSK APRS CW*,JG6YOW,DWWV-4312-0144-3164-0720
BisonSat,40974,,437.375,,9600bps GMSK,N7SKC,IGGV-1318-5974-9239-7350
BOTAN,65942,,145.825/437.375*,437.375,1k2AFSK 4k8*GMSK APRS CW*,JS1YPT,PHOX-2063-1951-4466-3756
BOTSAT-1,63216,,401.360,,4800bps GMSK,BOTSAT,VRWX-9292-5099-3709-0142
BRO-6,52422,,401.735,,9600bps FSK,,FIRA-5450-5372-6155-3095
