name,norad_id,uplink,downlink,beacon,mode,callsign,status,satnogs_id
1KUNS-3,47941,,435.310,,1k2/9k6* FSK,,active,JHGM-7853-8293-9677-2181
1KUNS-PF,43466,,437.300,,1k2-9k6* GMSK,,re-entered,VWFS-8293-1536-2839-9284
3B5GSAT,47961,,437.130,,,,unknown,DZKC-2045-5925-0631-5801
3CAT-1,43728,,437.250,437.250,9600bps BPSK CW,,re-entered,HIHZ-2146-5294-1802-1615
3CAT-2,41732,,145.970/2401.000,,9600bps BPSK/100kbps GMSK,,inactive,TDJT-5289-7835-4586-0378
3CAT-3,,,,,,,to be launched,
3CAT-4,60236,,437.350,,9k6/14k4 GMSK,,unknown,
3CAT-5A,46292,,401.337,,FM,,inactive,CHKH-0088-8886-9724-9925
3CAT-5A,46292,,401.337,,FM,,inactive,CHKH-0088-8886-9724-9925
4M-LXS,,,145.980,,WSJT-JT65B,LX0OHB,deep space,
Aalto-1,42775,,437.220/2402.000,437.220,9600bps GFSK CW,OH2A1S,re-entered,MTTJ-9379-5566-8860-4453
Aalto-2,42729,,437.335,437.335,9600bps GFSK CW,AALTO2,re-entered,GKTK-6186-2132-1025-6235
Aalto-3,,,437.325,,,,unknown,
AAUSAT-1,27846,,437.450,,9600bps GMSK,,inactive,
AAUSAT-2,32788,,437.426,,1k2*MSK 9k6 FSK,OZ2CUB,active,IMKY-8694-8138-3077-8494
AAUSAT-3,39087,,437.425,437.425,4800bps FSK CW,OZ3CUB,inactive,SPZX-9367-0355-8865-6645
AAUSAT-4,41460,,437.425,437.425,2k4*/9k6/19k2 GFSK CW,OZ4CUB,re-entered,AISX-1350-2546-0237-2310
AAUSAT-5,40948,,437.425,437.425,9600bps GMSK CW,OZ5CUB,re-entered,VWNC-0826-0031-1681-1741
ACRUX-1,44369,,437.200,,9600bps GMSK,CQ,re-entered,DYYY-0442-0736-6026-2557
ACS3,59588,,401.500,,2400bps GMSK,,non-amateur,EYEX-3123-7466-3755-9687
AENEAS,38760,,437.600,,1200bps AFSK,KE6YFA-1,inactive,EIWX-7695-6296-0911-6539
AeroCube-1,,,902-928,,9600bps GFSK,,failure,
AeroCube-2,31133,,902-928,,9600bps GFSK,,inactive,
AEROS-MH-1,59145,,2245.000,,FM,,unknown,GQFZ-9350-0430-5515-5385
AESP14,40389,,437.600,,9600bps GFSK,,inactive,
AggieSat-4,41313,,436.250,,9k6/153k6 FSK,,re-entered,YHMC-8015-3517-5780-3458
AHMAT-1,57206,,437.050,,1145baudAFSK,RS41S,unknown,ULWR-5929-7873-9279-5662
AIM,31304,,2282.500,,,,re-entered,FGXO-4320-3859-3880-6242
AISat,40054,,437.250,437.511,CW,DP0AIS,inactive,ZRIM-9073-8711-5268-6171
AISAT-1,44104,145.825,145.825/2259.000,,1200bps AFSK,AISAT-1,inactive,REOV-6010-1704-2080-0327
AISTECHSAT-2,43768,,436.730,,4k8*/9k6 FSK,,active,MSIH-7029-5546-1995-2723
AISTECHSAT-3,44103,,436.730,,4k8/9k6* FSK,,re-entered,RERZ-6166-7809-6282-7939
AIST-1,39492,,435.265,435.265,CW,,re-entered,FVRJ-8983-9120-1903-4578
AIST-2,39133,,435.215,435.265,FM CW,,inactive,VWRK-3457-9973-7957-3445
AIST-2D,41465,145.831-145.849,435.3065-435.3235,435.315,4800bps PSK CW,,inactive,IDEJ-3292-6865-3492-6224
ALEXANDER,39144,,2401.200-2431.200,437.425,1200bps AFSK,KJ6KRW,re-entered,
AlfaCrux,52160,437.225,437.100*/437.225,,4800bps FSK Digipeater,,re-entered,LVHV-7932-2909-1988-0093
ALICE,39467,,460.xxx,,GFSK,,non-amateur,
All-Star/THEIA,39683,,2401.700,,256Kbps BPSK,COSGC1AS,unknown,
ALPHA,53110,,436.500,,9600bps FSK,,inactive,
ALMASat-1,38078,,437.465/2407.850,,1200bps FSK,ALMASAT,re-entered,CQLE-4630-2620-1207-7883
ALSat-1N,41789,,437.646,,9600bps FSK,AL1N,inactive,UPOC-3374-7750-1640-6748
Altair,61779,,435.215*/435.615/435.715,,1k2AFSK 4k8BPSK,RS65S,unknown,OVJV-1933-3688-6136-9655
Al-Farabi-2,43805,,436.500,436.500,4800bps GMSK CW,UN1GWA,inactive,BYLD-5095-5765-9404-4681
AMAN-1,,,401.100,,9600bps FSK,,inactive,
AmicalSat,46287,,436.100*/2415.300,,1k2*AFSK 9k6 GMSK,RS17S,active,BHEP-0319-3345-0774-6350
AmurSat,44394,,436.250,,4800bps mobitex,,active,WPER-8728-6476-4000-7514
ANDE,29664,145.825,145.825,,1200bps AFSK,ANDE-1,re-entered,
ANDE-2,35694,,145.825,,1200bps AFSK,KD4HBO-1,re-entered,
ANDE-2,35693,,145.825,,1200bps AFSK,POLLUX-1,re-entered,
ANSER Leader,,,401.850,,FM,,re-entered,
ANSER Follower-1,58018,,401.850,,FM,,unknown,
ANSER Follower-2,58019,,401.850,,FM,,unknown,
ANTELSat,40034,,437.575/2403.000,437.280,1k2 AFSK GFSK/MSK CW,CX1SAT,inactive,
ANUSAT,34808,,,137.400,1200bps AFSK Carrier,,re-entered,
Aoba-VELOX-III,41935,,437.375,437.375,1200bps AFSK CW,JG6YBW,re-entered,NFQJ-3321-9747-8579-9505
Aoba-VELOX-IV,43940,,437.225,,9600bps GMSK,,inactive,HYSI-6582-0584-6522-0844
AoXiang-1,42735,,436.150*/437.640,,9600bps BPSK,NPUAX1,re-entered,PYLJ-8680-4604-2076-6550
AO-1,214,,144.983,144.983,CW,,re-entered,
AO-2,305,,144.983,144.983,CW,,re-entered,
AO-3,1293,145.975-146.025,144.325-144.375,,SSB CW,,inactive,
AO-4,1902,432.145-432.155,144.300-144.310,431.928,SSB CW,,re-entered,
AO-5,4321,,29.450,144.050,CW,,inactive,
AO-6,6236,145.900-146.000,29.450- 29.550,435.100,SSB CW,,inactive,
AO-7,7530,145.850-145.950,29.400- 29.500,29.502,A,,active,HHSS-6325-1344-4603-7774
AO-7,7530,432.125-432.175,145.975-145.925,145.970,B C,,active,HHSS-6325-1344-4603-7774
AO-7,7530,,2304.100,435.100,D(RTTY),,inactive,HHSS-6325-1344-4603-7774
