sat_id,norad_cat_id,norad_follow_id,name,names,image,status,decayed,launched,deployed,website,operator,countries,telemetries,updated,citation,is_frequency_violator,associated_satellites
SCHX-0895-2361-9925-0309,965.0,,TRANSIT 5B-5,OPS 6582,satellites/transit-o__1.jpg,alive,,1964-12-13T00:00:00Z,,,None,US,[],2022-08-01T06:47:53.992153Z,https://github.com/happysat/Deadsat#1,False,[]
AMOM-6643-5608-9156-4431,1002.0,,LES-1,Lincoln Experimental Satellite 1,satellites/LES1-Star13A-Kick-Motor.jpg,alive,,1965-02-11T00:00:00Z,,,None,US,[],2022-08-01T18:46:19.317207Z,https://github.com/happysat/Deadsat#23,False,[]
KEFJ-8497-6394-9368-1937,1291.0,,SOLRAD-7B,,,alive,,1965-03-09T00:00:00Z,,,None,US,[],2022-08-01T18:44:58.681317Z,CITATION NEEDED - https://xkcd.com/285/,False,[]
FBFQ-2056-7966-4855-0749,1315.0,,SECOR 4,EGRS 4,,alive,,1965-04-03T00:00:00Z,,https://en.wikipedia.org/wiki/SECOR,None,US,[],2022-08-01T16:44:53.958027Z,CITATION NEEDED - https://xkcd.com/285/,False,[]
BIRW-7828-0822-0647-1194,1804.0,,ALOUETTE-2,,,alive,,1965-11-29T00:00:00Z,,,None,CA,[],2022-08-01T18:44:19.383815Z,https://github.com/happysat/Deadsat,False,[]
HUET-0202-9646-3392-6736,2012.0,,Unknown Satellite,,,re-entered,1966-02-22T00:00:00Z,,,,None,,[],2021-07-21T10:11:41.956104Z,CITATION NEEDED - https://xkcd.com/285/,False,[]
ECVY-8071-9282-9701-5212,2389.0,,OV3-3,,,alive,,1966-08-04T00:00:00Z,,https://en.wikipedia.org/wiki/OV3-3,None,US,[],2022-08-01T16:53:46.041401Z,CITATION NEEDED - https://xkcd.com/285/,False,[]
FERZ-6681-3950-9303-3194,2412.0,,ERS-15,,,alive,,1966-08-19T00:00:00Z,,,None,US,[],2022-08-01T18:45:29.316432Z,https://github.com/happysat/Deadsat#6,False,[]
GVZR-7911-0022-1623-4621,2768.0,,ERS 20 (OV5-3),,satellites/ers-20.jpg,alive,,1967-04-28T00:00:00Z,,https://en.wikipedia.org/wiki/Orbiting_Vehicle#OV5,None,US,[],2022-08-01T16:42:26.938381Z,CITATION NEEDED - https://xkcd.com/285/,False,[]
PCWN-4534-3390-1366-2242,3669.0,,ISIS-1,International Satellite for Ionospheric Studies,,alive,,1969-01-30T00:00:00Z,,,None,CA,[],2022-08-01T18:45:40.461674Z,https://github.com/happysat/Deadsat#7,False,[]
